family,hdf5,key,qubits,n,pauli_terms,diagonals,nnz,fill,n_taylor,construction_s,output_file,status
tsp,tsp/tsp.hdf5,tsppenalty_Ncity-5_enc-stdbinary,15,32768,525,1,32768,3.05e-05,,0.0378,tsp_15_4.txt,OK
tsp,tsp/tsp.hdf5,tsppenalty_Ncity-6_enc-stdbinary,18,262144,393,1,262144,3.81e-06,,0.0514,tsp_18_4.txt,OK
BeH,chemistry/BeH/BeH.hdf5,ham_JW8,8,256,104,45,3328,5.08e-02,,0.0204,BeH_8_3.txt,OK
BeH,chemistry/BeH/BeH.hdf5,ham_JW12,12,4096,630,299,344064,2.05e-02,,0.6608,BeH_12_6.txt,OK
O2,O2/O2.hdf5,ham_JW16,16,65536,1176,1243,13959168,3.25e-03,,56.6768,O2_16_7.txt,OK
O2,O2/O2.hdf5,ham_JW20,20,1048576,3134,3359,597688320,5.44e-04,,6582.8380,O2_20_8.txt,OK
qmaxcut,qmaxcut/qmaxcut.hdf5,graph-n-10,10,1024,27,19,10240,9.77e-03,,0.0246,qmaxcut_10_4.txt,OK
qmaxcut,qmaxcut/qmaxcut.hdf5,graph-n-12,12,4096,33,23,49152,2.93e-03,,0.0219,qmaxcut_12_4.txt,OK
qmaxcut,qmaxcut/qmaxcut.hdf5,graph-n-14,14,16384,39,27,229376,8.54e-04,,0.0512,qmaxcut_14_4.txt,OK
qmaxcut,qmaxcut/qmaxcut.hdf5,graph-n-16,16,65536,45,31,1048576,2.44e-04,,0.1827,qmaxcut_16_4.txt,OK
qmaxcut,qmaxcut/qmaxcut.hdf5,graph-n-18,18,262144,51,35,4718592,6.87e-05,,0.8809,qmaxcut_18_4.txt,OK
qmaxcut,qmaxcut/qmaxcut.hdf5,graph-n-20,20,1048576,57,39,20971520,1.91e-05,,3.8105,qmaxcut_20_4.txt,OK
fermi,fermi/fermi.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-4_U-4_enc-jw,8,256,24,13,1792,2.73e-02,,0.0147,fermi_8_4.txt,OK
fermi,fermi/fermi.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-5_U-4_enc-jw,10,1024,31,17,9216,8.79e-03,,0.0154,fermi_10_4.txt,OK
fermi,fermi/fermi.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-6_U-4_enc-jw,12,4096,38,21,45056,2.69e-03,,0.0228,fermi_12_4.txt,OK
fermi,fermi/fermi.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-7_U-4_enc-jw,14,16384,45,25,212992,7.93e-04,,0.0823,fermi_14_5.txt,OK
fermi,fermi/fermi.hdf5,fh-graph-1D-grid-nonpbc-qubitnodes_Lx-8_U-4_enc-jw,16,65536,52,29,983040,2.29e-04,,0.1819,fermi_16_5.txt,OK
B2,B2/B2.hdf5,ham_JW-8,8,256,104,47,3328,5.08e-02,,0.0237,B2_8_4.txt,OK
B2,B2/B2.hdf5,ham_JW-10,10,1024,155,71,19456,1.86e-02,,0.0635,B2_10_4.txt,OK
B2,B2/B2.hdf5,ham_JW-12,12,4096,286,210,172032,1.03e-02,,0.2204,B2_12_4.txt,OK
B2,B2/B2.hdf5,ham_JW-14,14,16384,461,389,1212416,4.52e-03,,2.3062,B2_14_4.txt,OK
all-vib-c2h,c2h/all-vib-c2h.hdf5,enc_gray_dvalues_4-4-4-4,,,,,,,,,,FAILED
all-vib-c2h,c2h/all-vib-c2h.hdf5,enc_gray_dvalues_8-8-8-8,,,,,,,,,,FAILED
all-vib-c2h,c2h/all-vib-c2h.hdf5,enc_gray_dvalues_16-16-16-16,,,,,,,,,,FAILED
all-vib-hnc,hnc/all-vib-hnc.hdf5,enc_gray_dvalues_4-4-4-4,,,,,,,,,,FAILED
all-vib-hnc,hnc/all-vib-hnc.hdf5,enc_gray_dvalues_8-8-8-8,,,,,,,,,,FAILED
all-vib-hnc,hnc/all-vib-hnc.hdf5,enc_gray_dvalues_16-16-16-16,,,,,,,,,,FAILED
