matrix,source,key,K,protocol,generator,provenance
heis_16_5,heis/heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-16_h-1,5,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
heis_18_5,heis/heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-18_h-1,5,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
heis_20_5,heis/heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-20_h-1,5,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded(sibling heis_20_6)
heis_20_6,heis/heis.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-20_h-1,6,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
maxcut_16_5,maxcut/maxcut.hdf5,complbipart-n-16_a-8_b-8,5,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
maxcut_18_5,maxcut/maxcut.hdf5,complbipart-n-18_a-9_b-9,5,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
maxcut_20_5,maxcut/maxcut.hdf5,complbipart-n-20_a-10_b-10,5,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
qmaxcutC_18_4,hamlib_portal_hdf5/binaryoptimization/qmaxcut/random/graph-circulant.hdf5,circ-n-18_offsets-1-2,,dt=0.0012 steps=1000,fetchham_sparse_dia.py,manifest
qmaxcutK_18_4,hamlib_portal_hdf5/binaryoptimization/qmaxcut/ciqube/Karloff-hams.hdf5,1-Karloff_6_3_1.txt-6,,dt=0.0012 steps=1000,fetchham_sparse_dia.py,manifest
qmaxcutR_18_3,hamlib_portal_hdf5/binaryoptimization/qmaxcut/biqmac/rudy-instances.hdf5,3-pw05_100.7-4,,dt=0.0012 steps=1000,fetchham_sparse_dia.py,manifest
qmaxcut_16_4,qmaxcut/qmaxcut.hdf5,graph-n-16,4,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
qmaxcut_18_4,qmaxcut/qmaxcut.hdf5,graph-n-18,4,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
qmaxcut_20_4,qmaxcut/qmaxcut.hdf5,graph-n-20,4,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
tfim_16_4,tfim/tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-16_h-1,4,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded(sibling tfim_16_5)
tfim_16_5,tfim/tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-16_h-1,5,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
tfim_18_4,tfim/tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-18_h-1,4,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded(sibling tfim_18_5)
tfim_18_5,tfim/tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-18_h-1,5,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
tfim_20_5,tfim/tfim.hdf5,graph-1D-grid-nonpbc-qubitnodes_Lx-20_h-1,5,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
tsp_18_4,tsp/tsp.hdf5,tsppenalty_Ncity-6_enc-stdbinary,4,dt=0.0012 steps=1000,fetchham_sparse_dia.py,csv-recorded
vibbf3_18_3,hamlib_portal_hdf5/chemistry/vibrational/all-vib-bf3.hdf5,mu_y_prime_enc_gray_dvalues_8-8-8-8-8-8,,dt=0.0012 steps=1000,fetchham_sparse_dia.py,fp64-verified
